Course,Handed,Sex,Verbal,Age
Business,right,female,NA,25.75
 Social,right,female,NA,21.92
 Social,right,female,560,21.42
 Social,right,male,600,28.75
 Social,right,female,500,19.67
 Social,right,male,580,20.08
 Social,right,female,590,19.08
 Social,right,female,540,19.67
 Social,right,female,700,18.5
 Social,right,female,NA,18.5
 Social,right,female,590,19.17
 Social,right,female,NA,19.75
 Social,right,female,560,20.42
 Social,right,female,510,19.17
 Social,left,female,680,20.25
 Social,right,male,520,20.42
 Social,right,male,600,19.67
 Social,right,male,710,19.42
 Social,right,female,600,19.17
 Social,right,male,NA,22.25
 Social,right,female,480,19.25
 Social,right,female,560,19.42
 Social,right,female,480,19.08
 Social,right,male,550,18.58
 Social,right,male,650,20.17
 Social,right,female,NA,20.83
 Social,right,male,560,19.33
 Social,right,male,520,19.83
 Social,right,female,650,19.42
 Social,right,male,NA,19.33
 Social,left,female,620,20.67
 Social,right,male,530,19.58
 Social,right,male,500,19.67
 Social,right,female,760,19.17
 Social,right,female,NA,19.5
 Social,right,female,NA,20.83
 Social,right,female,675,21.58
 Social,right,female,300,25.5
 Social,right,female,640,31.75
 Social,right,male,640,19.83
 Social,right,female,640,19.33
 Social,right,male,670,19.17
 Social,right,female,660,19.58
Business,right,female,440,18.33
 Social,left,male,660,24.75
 Social,right,male,520,21.58
 Social,right,male,550,20.33
 Social,right,female,NA,19.75
 Social,left,female,610,20.5
 Social,right,female,620,19.25
 Social,right,female,590,19.92
 Social,right,female,550,20
 Social,right,female,NA,21.5
 Social,right,female,560,18.83
 Social,right,female,680,19.08
 Social,right,female,590,20.92
 Social,right,female,500,19.75
 Social,right,female,NA,21.58
 Social,right,male,540,NA
 Social,right,female,540,19.42
 Social,right,female,480,21.17
 Social,right,female,640,20.08
 Social,right,female,660,19.58
 Social,right,female,600,18.42
 Social,left,female,570,20.92
 Social,right,female,560,20.5
 Social,right,male,520,19.58
 Social,right,female,540,19.17
Natural,right,female,600,17.92
 Social,right,male,NA,19.25
 Social,right,female,550,21
 Social,right,female,560,20.42
 Social,left,female,580,19.17
 Social,left,male,550,20.25
 Social,right,female,620,18.92
 Social,right,male,780,19.67
 Social,right,female,NA,19.83
Natural,right,female,670,34.67
Natural,left,male,630,19.25
Natural,right,female,570,19.5
Natural,right,male,590,18.17
Natural,right,female,670,19.25
Natural,right,male,610,19.08
Natural,right,male,580,21.83
Natural,right,female,650,19.58
Natural,right,male,600,24.92
Natural,right,female,590,18.75
Natural,right,female,600,19.83
Natural,right,male,660,19.5
Natural,right,female,610,24.42
Natural,right,female,NA,19.08
Business,right,male,NA,20.75
Natural,right,female,600,33.92
Natural,right,female,500,20
Natural,right,male,NA,20.75
Natural,right,female,550,22.17
